state,poverty_rate,year
OK,0.141,1998
OR,0.15,1998
PA,0.113,1998
RI,0.11599999999999999,1998
SC,0.13699999999999998,1998
SD,0.10800000000000001,1998
TN,0.134,1998
TX,0.151,1998
UT,0.09,1998
VT,0.099,1998
VA,0.08800000000000001,1998
WA,0.08900000000000001,1998
WV,0.17800000000000002,1998
WI,0.08800000000000001,1998
WY,0.106,1998
AL,0.157,1997
AK,0.08800000000000001,1997
AZ,0.172,1997
AR,0.19699999999999998,1997
CA,0.166,1997
CO,0.08199999999999999,1997
CT,0.086,1997
DE,0.096,1997
DC,0.218,1997
FL,0.14300000000000002,1997
GA,0.145,1997
HI,0.139,1997
ID,0.147,1997
IL,0.11199999999999999,1997
IN,0.08800000000000001,1997
IA,0.096,1997
KS,0.09699999999999999,1997
KY,0.159,1997
LA,0.163,1997
ME,0.10099999999999999,1997
MD,0.084,1997
MA,0.122,1997
MI,0.10300000000000001,1997
MN,0.096,1997
MS,0.16699999999999998,1997
MO,0.11800000000000001,1997
MT,0.156,1997
NE,0.098,1997
NV,0.11,1997
NH,0.091,1997
NJ,0.09300000000000001,1997
NM,0.212,1997
NY,0.165,1997
NC,0.114,1997
ND,0.136,1997
OH,0.11,1997
OK,0.13699999999999998,1997
OR,0.11599999999999999,1997
PA,0.11199999999999999,1997
RI,0.127,1997
SC,0.131,1997
SD,0.165,1997
TN,0.14300000000000002,1997
TX,0.16699999999999998,1997
UT,0.08900000000000001,1997
VT,0.09300000000000001,1997
VA,0.127,1997
