sa,naics_sector,series,geo,year,annual_total
A,Total for All NAICS,Business Applications from Corporations,ND,2021,511.0
U,Total for All NAICS,Business Applications from Corporations,OH,2021,8056.0
A,Total for All NAICS,Business Applications from Corporations,OH,2021,8111.0
U,Total for All NAICS,Business Applications from Corporations,OK,2021,3449.0
A,Total for All NAICS,Business Applications from Corporations,OK,2021,3470.0
U,Total for All NAICS,Business Applications from Corporations,OR,2021,4179.0
A,Total for All NAICS,Business Applications from Corporations,OR,2021,4212.0
U,Total for All NAICS,Business Applications from Corporations,PA,2021,12403.0
A,Total for All NAICS,Business Applications from Corporations,PA,2021,12451.0
U,Total for All NAICS,Business Applications from Corporations,RI,2021,1214.0
A,Total for All NAICS,Business Applications from Corporations,RI,2021,1211.0
U,Total for All NAICS,Business Applications from Corporations,SC,2021,3099.0
A,Total for All NAICS,Business Applications from Corporations,SC,2021,3096.0
U,Total for All NAICS,Business Applications from Corporations,SD,2021,786.0
A,Total for All NAICS,Business Applications from Corporations,SD,2021,792.0
U,Total for All NAICS,Business Applications from Corporations,TN,2021,7182.0
A,Total for All NAICS,Business Applications from Corporations,TN,2021,7214.0
U,Total for All NAICS,Business Applications from Corporations,TX,2021,33478.0
A,Total for All NAICS,Business Applications from Corporations,TX,2021,33636.0
U,Total for All NAICS,Business Applications from Corporations,UT,2021,5178.0
A,Total for All NAICS,Business Applications from Corporations,UT,2021,5180.0
U,Total for All NAICS,Business Applications from Corporations,VT,2021,513.0
A,Total for All NAICS,Business Applications from Corporations,VT,2021,510.0
U,Total for All NAICS,Business Applications from Corporations,VA,2021,10022.0
A,Total for All NAICS,Business Applications from Corporations,VA,2021,10005.0
U,Total for All NAICS,Business Applications from Corporations,WA,2021,7396.0
A,Total for All NAICS,Business Applications from Corporations,WA,2021,7443.0
U,Total for All NAICS,Business Applications from Corporations,WV,2021,818.0
A,Total for All NAICS,Business Applications from Corporations,WV,2021,821.0
U,Total for All NAICS,Business Applications from Corporations,WI,2021,3599.0
A,Total for All NAICS,Business Applications from Corporations,WI,2021,3610.0
U,Total for All NAICS,Business Applications from Corporations,WY,2021,4285.0
A,Total for All NAICS,Business Applications from Corporations,WY,2021,4342.0
U,Total for All NAICS,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,1761977.0
U,Agriculture,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,10884.0
U,Mining,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,1414.0
U,Utilities,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,888.0
U,Construction,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,256020.0
U,Manufacturing,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,31243.0
U,Wholesale Trade,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,33097.0
U,Retail Trade,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,211039.0
U,Transportation and Warehousing,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,121893.0
U,Information,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,22297.0
U,Finance and Insurance,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,65485.0
U,Real Estate,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,48588.0
U,Professional Services,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,201850.0
U,Management of Companies,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages,US,2021,11116.0
