year,state,Per capita personal income,Population
1945,ME,1101,802000
1945,MI,1342,5468000
1945,MN,1119,2534000
1945,MO,1147,3513000
1945,MS,640,2079000
1945,MT,1212,477000
1945,NC,835,3523000
1945,ND,1037,544000
1945,NE,1197,1210000
1945,NH,1139,464000
1945,NJ,1609,4122000
1945,NM,971,530000
1945,NV,1658,147000
1945,NY,1681,12532000
1945,OH,1361,6915000
1945,OK,989,2025000
1945,OR,1372,1260000
1945,PA,1305,9180000
1945,RI,1318,842000
1945,SC,772,1921000
1945,SD,1083,573000
1945,TN,926,2875000
1945,TX,1082,6822000
1945,UT,1153,596000
1945,VA,987,3566000
1945,VT,1047,315000
1945,WA,1452,2238000
1945,WI,1191,2961000
1945,WV,900,1707000
1945,WY,1274,240000
1946,AL,763,2906000
1946,AR,760,1805000
1946,AZ,1131,618000
1946,CA,1706,9727000
1946,CO,1231,1196000
1946,CT,1600,1911000
1946,DC,1826,893000
1946,DE,1579,300000
1946,FL,1200,2473000
1946,GA,859,3251000
1946,IA,1238,2467000
1946,ID,1203,509000
1946,IL,1550,8164000
1946,IN,1211,3703000
1946,KS,1142,1803000
1946,KY,835,2757000
1946,LA,845,2540000
1946,MA,1422,4536000
1946,MD,1352,2227000
1946,ME,1148,835000
1946,MI,1338,5874000
1946,MN,1193,2737000
1946,MO,1200,3759000
1946,MS,618,2072000
1946,MT,1309,514000
1946,NC,875,3727000
1946,ND,1079,570000
1946,NE,1187,1256000
1946,NH,1168,495000
1946,NJ,1547,4505000
1946,NM,947,562000
1946,NV,1786,145000
1946,NY,1725,13434000
1946,OH,1324,7516000
1946,OK,960,2131000
1946,OR,1390,1342000
1946,PA,1305,9880000
1946,RI,1405,790000
1946,SC,791,1944000
1946,SD,1121,588000
1946,TN,880,3077000
1946,TX,1061,7199000
1946,UT,1121,638000
1946,VA,1050,3371000
1946,VT,1096,342000
1946,WA,1432,2300000
1946,WI,1214,3168000
1946,WV,931,1828000
1946,WY,1365,253000
1947,AL,809,2944000
1947,AR,740,1835000
1947,AZ,1199,652000
1947,CA,1724,9912000
1947,CO,1372,1236000
1947,CT,1721,1969000
1947,DC,1878,873000
1947,DE,1677,306000
1947,FL,1195,2539000
1947,GA,896,3271000
1947,IA,1211,2509000
1947,ID,1273,522000
1947,IL,1651,8344000
1947,IN,1316,3779000
1947,KS,1304,1851000
1947,KY,870,2802000
1947,LA,890,2579000
1947,MA,1458,4589000
1947,MD,1385,2256000
1947,ME,1182,854000
1947,MI,1474,6075000
1947,MN,1271,2796000
1947,MO,1230,3846000
1947,MS,669,2108000
1947,MT,1480,530000
1947,NC,905,3772000
1947,ND,1467,578000
1947,NE,1269,1266000
1947,NH,1233,509000
1947,NJ,1589,4628000
1947,NM,1026,582000
1947,NV,1791,149000
1947,NY,1751,13993000
1947,OH,1411,7705000
1947,OK,1031,2133000
1947,OR,1515,1364000
1947,PA,1378,10201000
1947,RI,1488,784000
1947,SC,803,1996000
1947,SD,1254,600000
1947,TN,896,3168000
1947,TX,1154,7384000
1947,UT,1196,636000
1947,VA,1052,3273000
1947,VT,1132,354000
1947,WA,1531,2225000
1947,WI,1298,3250000
1947,WV,1036,1882000
1947,WY,1511,256000
1948,AL,881,2969000
1948,AR,881,1825000
1948,AZ,1354,690000
1948,CA,1816,10064000
1948,CO,1489,1263000
1948,CT,1742,2014000
1948,DC,2120,840000
1948,DE,1679,312000
1948,FL,1240,2578000
1948,GA,997,3259000
1948,IA,1621,2543000
1948,ID,1352,551000
1948,IL,1817,8552000
1948,IN,1448,3877000
1948,KS,1350,1892000
1948,KY,1001,2817000
1948,LA,1023,2596000
1948,MA,1532,4674000
1948,MD,1548,2271000
1948,ME,1270,878000
1948,MI,1561,6213000
1948,MN,1451,2868000
1948,MO,1378,3844000
1948,MS,797,2076000
1948,MT,1638,542000
1948,NC,1008,3837000
1948,ND,1462,580000
1948,NE,1545,1265000
1948,NH,1312,520000
1948,NJ,1667,4774000
1948,NM,1156,604000
1948,NV,1811,156000
1948,NY,1783,14497000
1948,OH,1541,7876000
1948,OK,1144,2089000
1948,OR,1676,1405000
1948,PA,1437,10287000
1948,RI,1468,787000
1948,SC,926,1996000
1948,SD,1503,612000
1948,TN,970,3216000
1948,TX,1221,7626000
1948,UT,1287,653000
1948,VA,1202,3207000
1948,VT,1220,359000
1948,WA,1678,2255000
1948,WI,1436,3314000
1948,WV,1105,1899000
1948,WY,1635,269000
1949,AL,838,3000000
1949,AR,818,1844000
1949,AZ,1343,714000
1949,CA,1800,10337000
1949,CO,1478,1295000
1949,CT,1682,2032000
1949,DC,2286,807000
