state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
MA,2018,2244923.0,6653753.0,0.3373919951642328,0.6626080048357672
MA,2019,2227507.0,6646308.0,0.335149529633595,0.6648504703664049
MI,2005,2176520.0,9865583.0,0.2206174738989069,0.779382526101093
MI,2006,2133985.0,9840396.0,0.2168596670296602,0.7831403329703398
MI,2007,2197882.0,9812734.0,0.2239826331784801,0.7760173668215199
MI,2008,2275394.0,9745075.0,0.2334916868264225,0.7665083131735775
MI,2009,2382824.0,9713222.0,0.245317568156066,0.754682431843934
MI,2010,2423717.0,9648506.0,0.2512012740625336,0.7487987259374664
MI,2011,2529719.0,9647118.0,0.2622253609834564,0.7377746390165436
MI,2012,2590415.0,9656732.0,0.2682496521597575,0.7317503478402425
MI,2013,2651632.0,9669160.0,0.274236024639162,0.725763975360838
MI,2014,2673561.0,9683157.0,0.2761042705390401,0.7238957294609598
MI,2015,2637020.0,9695391.0,0.2719869678283217,0.7280130321716782
MI,2016,2644021.0,9697834.0,0.2726403648484806,0.7273596351515195
MI,2017,2540617.0,9732455.0,0.2610458512266432,0.7389541487733569
MI,2018,2557816.0,9769646.0,0.2618125569749405,0.7381874430250595
MI,2019,2488889.0,9763358.0,0.2549214112603471,0.7450785887396529
MN,2005,996266.0,4989848.0,0.1996585867946278,0.8003414132053722
MN,2006,982367.0,5025398.0,0.1954804375693228,0.8045195624306771
MN,2007,1041051.0,5054764.0,0.2059544224023119,0.794045577597688
MN,2008,1062099.0,5076803.0,0.2092062662269936,0.7907937337730063
MN,2009,1160114.0,5122558.0,0.2264716182813352,0.7735283817186648
MN,2010,1221576.0,5175189.0,0.2360447125699177,0.7639552874300822
MN,2011,1256399.0,5209467.0,0.2411761126426177,0.7588238873573823
MN,2012,1333995.0,5242594.0,0.2544532344102938,0.7455467655897061
MN,2013,1335148.0,5284880.0,0.2526354429996518,0.7473645570003482
MN,2014,1348254.0,5322298.0,0.2533217794268566,0.7466782205731435
MN,2015,1392162.0,5355623.0,0.2599439878423107,0.7400560121576892
MN,2016,1368877.0,5387409.0,0.254088189703065,0.7459118102969349
MN,2017,1360843.0,5444571.0,0.2499449451572952,0.7500550548427047
MN,2018,1366634.0,5479901.0,0.2493902718315531,0.7506097281684468
MN,2019,1321956.0,5509065.0,0.2399601384263935,0.7600398615736064
MS,2005,812847.0,2824156.0,0.287819440569147,0.712180559430853
MS,2006,789551.0,2816293.0,0.2803511566445679,0.7196488433554321
MS,2007,793189.0,2823468.0,0.2809272143335784,0.7190727856664216
MS,2008,824479.0,2838766.0,0.2904357034007029,0.709564296599297
MS,2009,846863.0,2851868.0,0.2969502796062089,0.7030497203937911
MS,2010,864466.0,2878072.0,0.300362881818106,0.699637118181894
MS,2011,874002.0,2886549.0,0.3027843975626258,0.6972156024373741
MS,2012,922471.0,2892318.0,0.3189383048475306,0.6810616951524694
MS,2013,959500.0,2896747.0,0.3312336217142885,0.6687663782857115
MS,2014,928983.0,2897745.0,0.320588250518938,0.679411749481062
MS,2015,955218.0,2898354.0,0.329572578090875,0.670427421909125
MS,2016,937653.0,2895666.0,0.3238125529670894,0.6761874470329106
MS,2017,905624.0,2891156.0,0.3132394101183056,0.6867605898816944
MS,2018,904190.0,2888470.0,0.3130342361180833,0.6869657638819167
MS,2019,905414.0,2882767.0,0.3140781062083755,0.6859218937916245
MO,2005,1476592.0,5631910.0,0.2621831669895293,0.7378168330104706
MO,2006,1475659.0,5675637.0,0.2599988336110995,0.7400011663889006
MO,2007,1470672.0,5710825.0,0.2575235627076648,0.7424764372923351
MO,2008,1550751.0,5742733.0,0.2700371060259984,0.7299628939740016
